text,occurrence
thx,91
create,90
instead,90
gretawire,90
act,90
results,90
hillaryclinton,90
gas,90
west,90
action,90
fair,90
blue,89
comes,89
young,89
abc,89
second,89
billmaher,89
advice,89
billion,89
worth,88
children,88
pennsylvania,88
air,88
evening,88
lots,88
choice,88
fire,88
letterman,87
came,87
case,87
correct,87
late,87
nfl,87
candidates,87
word,87
highest,86
immediately,86
played,86
failure,86
unemployment,86
losing,86
face,86
david,85
meet,85
father,85
protect,85
carson,85
system,85
countries,85
marco,85
heard,85
fighting,85
television,84
turnberry,84
episode,84
including,84
bought,84
lie,84
maybe,84
yankees,84
dead,84
n,83
idea,83
least,83
links,83
lives,83
trumpvlog,83
reading,83
eric,83
nuclear,83
lose,83
allowed,83
joke,83
16,82
pageant,82
brand,82
texas,82
conference,82
answer,82
universe,82
son,82
stock,82
credit,81
chris,81
tuesday,81
each,81
talent,81
voters,81
newsmax_media,81
line,81
phony,80
took,80
wins,80
ran,80
prices,80
started,80
mistake,80
horrible,80
voted,79
george,79
reality,79
view,79
heading,79
growth,79
rosie,79
laughing,78
minutes,78
mike,78
exciting,78
term,78
beach,78
middle,78
standing,78
trumpforpresident,78
march,78
repeal,78
complete,78
woman,77
votes,77
midas,77
beginning,77
piersmorgan,77
crime,77
longer,77
website,77
thousands,77
questions,77
v,76
dummy,76
15,76
draintheswamp,76
chinese,76
wouldn,76
christmas,76
few,76
las,76
five,76
views,75
pathetic,75
putin,75
ads,75
himself,75
runs,75
ahead,75
endorsement,74
understand,74
vets,74
continues,74
positive,74
sorry,74
rod,74
final,74
jebbush,74
luxury,74
justice,74
despite,74
inspiration,74
honored,73
karlrove,73
paid,73
release,73
highly,73
surprise,73
plans,73
ad,72
negative,72
knew,72
using,72
dannyzuker,72
friday,72
asked,72
send,72
movement,72
20,71
food,71
message,71
announcement,71
asking,71
question,71
force,71
starting,71
everybody,71
amnesty,71
hall,71
seeing,71
four,70
early,70
votetrump,70
dopey,70
elected,70
takes,70
bigger,70
rich,70
super,70
gone,70
lets,70
danscavino,70
cost,70
announced,70
passion,70
months,70
gives,70
18,69
number,69
reporting,69
missuniverse,69
college,69
records,69
center,69
award,69
interest,69
etc,69
dream,69
death,69
price,69
behind,69
destroy,69
3rd,69
families,69
breitbartnews,69
company,68
afraid,68
possible,68
dinner,68
leading,68
couldn,68
cast,68
presidency,68
common,68
estate,68
fbi,68
gov,68
poor,68
between,68
bless,68
wisconsin,68
list,68
benghazi,68
built,68
head,68
defense,68
et,67
ur,67
false,67
matter,67
november,67
arizona,67
rather,67
shirts,67
melaniatrump,67
monster,66
borders,66
courses,66
books,66
politician,66
announce,66
taken,66
billionaire,66
private,66
self,66
trump2016https,66
kasich,66
e,65
strength,65
hopefully,65
court,65
police,65
incompetent,65
confidence,65
ass,65
joe,65
experience,65
waiting,65
comments,64
raise,64
trust,64
kind,64
probably,64
player,64
africa,64
goes,64
pick,64
room,64
wanted,64
weiner,64
excellent,64
prez,64
2nd,64
enjoyed,64
hits,64
sold,64
omarosa,64
stated,63
al,63
freedom,63
whitehouse,63
leave,63
perhaps,63
opportunity,63
resort,63
increase,63
tom,63
host,63
billions,62
50,62
collection,62
companies,62
park,62
canada,62
street,62
signed,62
ideas,62
trumptowerny,62
1st,62
stories,62
honest,61
